site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,work_type,names,ore_ctrl,hrock_type,arock_type
Anderson's Lode,-20.66342,139.60721,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,,,,Counter,,"Metasedimentary Rock,Siltstone",Meta-Basalt
Area 55 Prospect,-13.01947,130.9602,OC,Australia,Northern Territory*,,M,"Uranium, Lead, Zinc, Copper",,,Unknown,,N,Occurrence,,,,,"Mineralization Appears To Be Related To Minor Structural Features, Including Shear Zones And Steeply Plunging Fold Axes.","Slate,Schist,Dolomite",
Beatrice,-12.5473,133.21155,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,"Clastic Sedimentary Rock,Shale,Dolomite,Chert",
Beverley Prospect,-30.19627,139.61546,OC,Australia,South Australia,,M,Uranium,,,Unknown,,N,Occurrence,Pitchblende,,,,,Siltstone,Granite
Bikini Prospect,-20.41343,139.44472,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,Metasedimentary Rock,Meta-Basalt
Brodribb Prospect,-12.80838,131.03659,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,Around Margin Of Rum Jungle,Slate,
Easter Egg - Midnight,-20.9134,139.49888,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,Uraninite,,,,,Hornblendite,Granite
Waterhouse No. 1 Prospect,-13.09725,131.06159,OC,Australia,Northern Territory*,,M,"Uranium, Copper",,,Unknown,,N,Occurrence,,,,,,,
Burke River Area,-22.49664,140.24885,OC,Australia,Queensland,,B,"Phosphorus-Phosphates, Uranium",,,Unknown,,N,Occurrence,,,,Duchess,,Phosphorite,
Burrundie Prospect,-13.56388,131.65463,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,Slate,
Caramel,-12.36398,133.29904,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,,
Carlton Hills,-19.99678,139.33222,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,Volcanic Rock (Aphanitic),
Celia Creek Prospect,-12.88059,130.9991,OC,Australia,Northern Territory*,,M,"Uranium, Copper, Lead",,,Unknown,,N,Occurrence,,,,,,,
Cliff Face Prospect,-13.53333,132.55738,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,,
Coirwong Gorge Prospect,-13.22918,132.16295,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,,
Coronation Hill Mine,-13.5861,132.58933,OC,Australia,Northern Territory*,,B,"Uranium, Gold","Silver, Platinum, Palladium",Phosphorus-Phosphates,Unknown,,Y,Producer,"Chalcopyrite, Galena, Gold, Marcasite, Pitchblende, Pyrite, Pyrrhotite, Sphalerite",,,,,"Diorite,Siltstone,Conglomerate",Volcanic Rock (Aphanitic)
Yenberrie Prospect,-14.11939,132.04073,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,North-Trending Greisenized Shear Zone In The Cullen Granite (Greisenized),Granite,
Crater Prospect,-13.04169,131.03937,OC,Australia,Northern Territory*,,M,Thorium,,,Unknown,,N,Occurrence,Thorianite,,,,,Conglomerate,
Crockers Well Deposit,-31.82954,139.94876,OC,Australia,South Australia,,M,"Uranium, REE",,,Unknown,,N,Occurrence,"Monazite, Xenotime","Apatite, Biotite, Zircon",,"Includes Eastern Prospect, South-Western Prospect, Central Prospect Plus 3 Other Main Deposits.",,Pegmatite,Granite
Crockers Well East,-31.82954,139.94876,OC,Australia,South Australia,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,Volcanic Breccia (Agglomerate),
Edith River Prospects,-14.19716,132.04906,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,"Apatite, Fluorite, Torbernite","Copper, Hematite, Limonite, Quartz",,YMCA,North - Trending Greisenized Shear Zone In The Cullen Granite (Greisenized),Slate,
Elaine Mary,-22.57045,144.54695,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,,"Calcite, Chalcopyrite, Hematite, Magnetite",,,,Meta-Basalt,
El Sherana Mine,-13.50972,132.5185,OC,Australia,Northern Territory*,,M,"Uranium, Gold",,,Unknown,,Y,Producer,Pitchblende,,,,Fault Zone;  Pronounced Stratigraphical Or Lithologic Control,,
El Sherana West Mine,-13.50833,132.51712,OC,Australia,Northern Territory*,,M,"Uranium, Gold",,,Unknown,,Y,Producer,Pitchblende,"Chalcopyrite, Galena, Pyrite",,,Ore Generally Within 150 Feet Of Contact With The Unconformably Overlying Carpentarian Sandstones;  A Little Ore Was Also Found In The Carpentarian Beds Close To The Unconformity.  Pronounced Stratigraphic Or Lithologic Control.,Shale,
Fergusson River Prospect,-14.06384,131.97406,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,"Torbernite, Uraninite","Chalcopyrite, Covellite, Pyrite, Tennantite",,,,"Gneiss,Granite",Granite
Frazer Prospect,-12.79171,131.13798,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,Around Margin Of Rum Jungle Complex,,
George Creek Mine,-13.33473,131.13241,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,Y,Producer,"Pitchblende, Torbernite","Chalcopyrite, Pyrite",,,,Siltstone,
Hamana,-27.49626,123.99917,OC,Australia,Western Australia,,M,Uranium,,,Unknown,,N,Occurrence,Carnotite,,,,,,
Hore and O'Connors Prospect,-14.15828,131.9685,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,Torbernite,,,,,Granite,
Huarabagoo,-17.50112,138.10449,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,Carnotite,,,,,Conglomerate,
Thorntonia Area,-20.49675,138.7489,OC,Australia,Queensland,,B,"Phosphorus-Phosphates, Uranium",,,Unknown,,N,Occurrence,,,,Lady Annie,,Phosphorite,
Tinboll,-20.49677,140.99887,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,,,,Monakoff,,"Quartzite,Mica Schist,Amphibolite",
Koongarra,-12.87227,132.85322,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,Pitchblende,"Chalcopyrite, Galena, Garnet, Graphite",,Jim Jim,"The Faulted Contact Is Intensely Brecciated And Marks The Footwall Of The Mineralized Zone;  The Hanging Wall Is A Carbonaceous Horizon, Some 70 M Above And Nearly Parallel To The Fault.",Siltstone,
Long Pocket Prospect,-17.46638,137.21978,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,"Carnotite, Pitchblende",,,,,Conglomerate,
Manton Prospect,-12.86393,131.11576,OC,Australia,Northern Territory*,,M,Thorium,,,Unknown,,N,Occurrence,Thorianite,,,,,Conglomerate,
Mary Kathleen,-20.83007,139.91554,OC,Australia,Queensland,,B,Uranium,REE,"Copper, Phosphorus-Phosphates, Fluorine-Fluorite",Unknown,,Y,Producer,"Uraninite, Uranophane","Chalcopyrite, Pyrite, Pyrrhotite",,,"Mineralization, Interpreted As A Skarn In Carbonaceous Sediments, Largely Metasomatized To Garnet And Scapolite, Is In The Strongly Folded, But Only Moderately Metamorphosed (As Compared To The Musgrave Block), Mount Isa Belt Of The Central Australian Orogenic Province.",Metasedimentary Rock,Granite
Mindamereeka Hill,-31.83232,140.16543,OC,Australia,South Australia,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,,
Monolith Prospect,-13.51666,132.53934,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,,
Mount Painter,-30.16294,139.41546,OC,Australia,South Australia,,M,"Radium, Thorium, Uranium",,,Unknown,,Y,Producer,"Fergusonite, Uraninite, Uranophane",,,,"Synclinal Axis, And A Fault Zone","Mafic Intrusive Rock,Gneiss,Volcanic Breccia (Agglomerate),Granite",Granite
Mount Victoria,-31.74622,139.94876,OC,Australia,South Australia,,M,Uranium,,,Unknown,,N,Occurrence,,,,"Central Lode, Includes Main Lode, South Lode, Buried Lodes.",,,
Tolmer Prospect,-13.14724,130.88242,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,Siltstone,
Nabarlek,-12.30565,133.37404,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,Y,Producer,Uraninite,Chlorite,Surface,,"Sediments Dip Steeply Away From The Late Archean Rum Jungle Complex, Indicating Post-Archean Updoming Of The Complex At The Close Of Sedimentation In The Pine Creek Geosyncline.  The Complex Is Cut By The Giant'S Reel Fault.  The Anomalies Align With Local Fault.",Schist,Schist
Namalangi,-17.51501,138.09476,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,"Carnotite, Pitchblende",,,,,Conglomerate,
Ngalia Basin,-22.2466,131.49903,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,,
Pandanus Creek Mine,-17.74693,137.83226,OC,Australia,Northern Territory*,,M,"Uranium, Copper, Gold",,,Unknown,,Y,Producer,Boltwoodite,,,Eva Prospect,,,
"Ranger Nos. 1 , 2 , 3 , 4 , 5 , 6",-12.68479,132.93655,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,Y,Producer,Pitchblende,"Chlorite, Copper, Lead",,"Jacana Is Ranger No. 3, Jabiru Is Ranger No. 1",Veinlets Tend To Be Concentrated Around Fragments Of Brecciated Chlorite Schist,"Schist,Siltstone",Basalt
Rockhole Mine,-13.47222,132.46017,OC,Australia,Northern Territory*,,M,"Uranium, Gold",,,Unknown,,Y,Producer,Pitchblende,"Chalcopyrite, Galena, Pyrite",,,Pronounced Stratigraphical Or Lithologic Control,,Volcanic Rock (Aphanitic)
Valhalla,-20.36898,139.35722,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,Siltstone,Meta-Basalt
Rum Jungle Field,-12.99724,130.9991,OC,Australia,Northern Territory*,,B,Uranium,,"Copper, Lead, Cobalt, Silver, Nickel, Phosphorus-Phosphates",Unknown,,M,Producer,"Pitchblende, Torbernite, Uraninite","Chalcopyrite, Lead, Pyrite",,,"Spatial Distribution Of Uranium Deposits And Prospects Around The Nanambu, Nimbuwah, And Rum Jungle Complexes Suggests A Relation Between The Mineralization And A Major Igneous Phase ( 1700 - 1800 M.Y. ) ( Dodson And Others, 1974 ). Rum  Jungle Creek South Deposit Is Contained In A Fold.",,
Rum Jungle Creek South Mine,-13.03892,130.99353,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,Y,Producer,Uraninite,,,,,Schist,
Scinto 1 Prospect,-13.53611,132.55738,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,,
Scinto 5 Mine,-13.53055,132.54905,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,Y,Producer,Pitchblende,"Chalcopyrite, Galena, Pyrite",,,Near Contact Of Koolpin Formation With The Unconformably Overlying Carpentarian Sandstone.,Shale,Volcanic Rock (Aphanitic)
Six Kangaroos,-20.99673,140.99886,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,,
Skal,-20.44259,139.45305,OC,Australia,Queensland,,M,Uranium,,,Unknown,,N,Occurrence,Brannerite,,,,,Siltstone,Meta-Basalt
Skull Mine,-13.54028,132.64905,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,Y,Producer,Pitchblende,"Chalcopyrite, Galena, Pyrite",,,Near Contact With The Unconformably Overlying Carpentarian Sandstone.,Shale,
South Alligator River Field,-13.49722,132.49906,OC,Australia,Northern Territory*,,M,Gold,,,Unknown,,Y,Producer,Uranophane,,,,"The Archaean Basement Ridge Running Northwesterly Along The Valley Is Associated With A Zone Of Major Faulting Which Has Controlled The Mineralization, The Localization Being Determined By Tension Fractures Associated With The Faulting.","Clastic Sedimentary Rock,Shale",
Spring Hill,-31.74622,139.94876,OC,Australia,South Australia,,M,Uranium,,,Unknown,,N,Occurrence,Ilmenite,,,,,Pegmatite,
Tennysons Prospects,-14.21383,131.99907,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,Torbernite,,,,,Granite,
Waterhouse No. 2 Prospect,-13.13891,131.02687,OC,Australia,Northern Territory*,,M,"Copper, Uranium",,,Unknown,,N,Occurrence,,,,,,,
Waterhouse No. 3 Prospect,-13.15835,131.04076,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,,
White's Mine,-12.98753,131.00603,OC,Australia,Northern Territory*,,M,"Uranium, Copper, Lead, Cobalt, Nickel, Silver",,,Unknown,,Y,Producer,"Bornite, Chalcopyrite, Galena, Torbernite, Uraninite",,,,Broadly Controlled By Stratigraphy,,
Wollogorang,-17.58027,137.83226,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,Quartzite,
Yarramba Prospect,-31.24625,141.41541,OC,Australia,South Australia,,M,Uranium,,,Unknown,,N,Occurrence,Pitchblende,,,,,Clastic Sedimentary Rock,
Yeelirrie,-27.11293,119.8826,OC,Australia,Western Australia,,M,Uranium,,,Unknown,,N,Occurrence,,,,,,,Granite
Jabiluka 1 and 2,-12.48063,132.87405,OC,Australia,Northern Territory*,,M,Uranium,,,Unknown,,N,Occurrence,Pitchblende,"Gold, Hematite, Pyrite",,,,"Schist,Siltstone",
Nullagine Mine,-25.46243,122.17743,OC,Australia,Western Australia,,M,Gold,,,Unknown,,Y,Producer,,,,,,,
Argyle Mine,-25.46243,122.17743,OC,Australia,Western Australia,,N,Diamond,,,Unknown,,Y,Producer,,,,,,,
Friendly Creek Mine,-25.46243,122.17743,OC,Australia,Western Australia,,M,Tin,,,Unknown,,Y,Producer,,,,,,,
Gibsonvale Mine,-32.16647,147.01159,OC,Australia,New South Wales,,M,Tin,,,Unknown,,Y,Producer,,,,,,,
Granite Creek Mine,-22.57045,144.54695,OC,Australia,Queensland,,M,Tin,,,Unknown,,Y,Producer,,,,,,,
Kangaroo Creek Mine,-19.41107,133.36423,OC,Australia,Northern Territory*,,M,Tin,,,Unknown,,Y,Producer,,,,,,,
Moolyella Mine,-21.16772,119.92069,OC,Australia,Western Australia,,M,"Tin, Tantalum, Gold",,,Unknown,,Y,Producer,,,,,,,
Capel South Amc Mine,-33.63207,115.45851,OC,Australia,Western Australia,,M,"Titanium, Metal, Zirconium",,,Unknown,,Y,Producer,,,,Busselton East,,,
Cable Sands Mine,-33.66096,115.38684,OC,Australia,Western Australia,,M,"Zirconium, REE, Titanium, Metal",,,Unknown,,Y,Producer,,,,,,,
Hawks Nest/Bridge Hill Mine,-32.16647,147.01159,OC,Australia,New South Wales,,M,"REE, Titanium, Metal, Zirconium",,,Unknown,,Y,Producer,,,,,,,
North Capel Mine,-33.52375,115.57516,OC,Australia,Western Australia,,M,"Zirconium, REE, Titanium, Metal",,,Unknown,,Y,Producer,,,,,,,
North Stradbroke Amc Mine,-22.57045,144.54695,OC,Australia,Queensland,,M,"Zirconium, Titanium, Metal, REE",,,Unknown,,Y,Producer,,,,,,,
North Stradbroke Crl Mine,-22.57045,144.54695,OC,Australia,Queensland,,M,"REE, Titanium, Metal, Zirconium",,,Unknown,,Y,Producer,,,,,,,
Tomago Mine,-32.16647,147.01159,OC,Australia,New South Wales,,M,"REE, Titanium, Metal, Zirconium",,,Unknown,,Y,Producer,,,,,,,
Viney Creek Mine,-32.16647,147.01159,OC,Australia,New South Wales,,M,"REE, Titanium, Metal, Zirconium",,,Unknown,,Y,Producer,,,,,,,
Yoganup Extended Mine,-33.57847,115.66877,OC,Australia,Western Australia,,M,"Titanium, Metal, Zirconium, REE",,,Unknown,,Y,Producer,,,,,,,
Kara,-41.34611,145.7818,OC,Australia,Tasmania,,M,"Tungsten, Iron",,,Unknown,,Y,Producer,,,Surface,Hampshire,,Dolomite,
King Island Mines,-40.06277,144.08187,OC,Australia,Tasmania,,M,"Tungsten, Molybdenum",,,Unknown,,Y,Producer,,,,"Bold Head Mine & Dolphin Mine, No. 1 Orebody",,"Hornfels,Metasedimentary Rock",
Molyhil Mine,-22.7466,135.73227,OC,Australia,Northern Territory*,,M,"Tungsten, Molybdenum",,,Unknown,,Y,Producer,,,Surface,,,"Hornfels,Granite",
Mount Carbine Mine,-16.51372,145.11548,OC,Australia,Queensland,,M,Tungsten,,,Unknown,,Y,Producer,,,Surface,,,Argillite,
Sunnymount Mine,-17.41366,144.86548,OC,Australia,Queensland,,M,"Tin, Tungsten",,,Unknown,,Y,Past Producer,,,Underground,The Tommy Burns Mine,,"Hornfels,Siltstone",
Torrington Mine,-29.31309,151.68192,OC,Australia,New South Wales,,B,"Tungsten, Tin, Bismuth, Gemstone",,,Unknown,,Y,Producer,,,Surface/Underground,"Burnt Hut, Fielders Hill, Fielders Hill North, Carters Group",,"Mudstone,Siltstone,Sandstone,Granite",
Bindoon-New Norcia,-25.46243,122.17743,OC,Australia,Western Australia,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,Mafic Intrusive Rock,
Glen Forrest,-25.46243,122.17743,OC,Australia,Western Australia,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,Mafic Intrusive Rock,
Mitchell Plateau,-25.46243,122.17743,OC,Australia,Western Australia,,M,Aluminum,,,Unknown,,N,Occurrence,,,,Kimberley Region,,,
North Weipa,-22.57045,144.54695,OC,Australia,Queensland,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,,
North Kimberly,-25.46243,122.17743,OC,Australia,Western Australia,,M,Aluminum,,,Unknown,,N,Occurrence,,,,"Kimberly Area, Mitchell Plateau",,,
Ouse,-41.96921,146.62883,OC,Australia,Tasmania,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,Sandstone,
Parish,-32.16647,147.01159,OC,Australia,New South Wales,,M,Aluminum,,,Unknown,,N,Occurrence,"Boehmite, Gibbsite",,,,,Basalt,
Pera Head,-22.57045,144.54695,OC,Australia,Queensland,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,,
Sawyer's Valley,-25.46243,122.17743,OC,Australia,Western Australia,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,Mafic Volcanic Rock,
St. Leonards,-41.96921,146.62883,OC,Australia,Tasmania,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,Diorite,
South Weipa,-22.57045,144.54695,OC,Australia,Queensland,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,,
Tamborine Mountain,-22.57045,144.54695,OC,Australia,Queensland,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,Basalt,
Toodyay,-25.46243,122.17743,OC,Australia,Western Australia,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,Mafic Intrusive Rock,
Turtle Head,-22.57045,144.54695,OC,Australia,Queensland,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,"Sand and Gravel,Shale,Sandstone",
Weipa-Andoom,-22.57045,144.54695,OC,Australia,Queensland,,M,Aluminum,,,Unknown,,Y,Past Producer,"Boehmite, Gibbsite",,,,,Sandstone,
Wenlock River,-22.57045,144.54695,OC,Australia,Queensland,,M,Aluminum,,,Unknown,,N,Occurrence,"Boehmite, Gibbsite",,,,,,
Werribee,-25.46243,122.17743,OC,Australia,Western Australia,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,Mafic Intrusive Rock,
Wingello,-32.16647,147.01159,OC,Australia,New South Wales,,M,Aluminum,,,Unknown,,N,Occurrence,,,,,,Basalt,
Weipa,-22.57045,144.54695,OC,Australia,Queensland,,M,Aluminum,,,Unknown,,Y,Past Producer,,,,,,,
Weipa,-22.57045,144.54695,OC,Australia,Queensland,,M,Aluminum,,,Unknown,,Y,Past Producer,"Boehmite, Gibbsite",,,"Weipa Mission Peninsula, Andoom, Pesa Head Areas",,"Silt,Sand and Gravel",
Kunwarara,-22.91336,150.21536,OC,Australia,Queensland,,M,Magnesite,,,Unknown,,Y,Producer,Magnesite,"Clay, Dolomite, Quartz",,,,Sandstone,
Wim 150,-36.71278,142.21531,OC,Australia,Victoria,,M,"Titanium, Metal, REE, Zirconium",,,Unknown,,N,Occurrence,"Ilmenite, Monazite, Xenotime, Zircon",,,,,Sand and Gravel,
Mount Weld,-28.86008,122.5453,OC,Australia,Western Australia,,B,"Phosphorus-Phosphates, Niobium (Columbium), Tantalum","REE, Zirconium",,Unknown,,N,Prospect,Monazite,,,,,Intrusive Carbonatite,"Metasedimentary Rock,Metavolcanic Rock,Serpentinite"
Caitlin Creek,-33.56266,120.03254,OC,Australia,Western Australia,,M,Tantalum,,,Unknown,,N,Prospect,,,,,,,
Cooljarloo,-30.5058,115.43769,OC,Australia,Western Australia,,M,"REE, Titanium, Metal, Zirconium",,,Unknown,,N,Prospect,"Monazite, Rutile, Zircon",,,,,Sand and Gravel,
Limestone Creek,-41.26278,145.7818,OC,Australia,Tasmania,,N,Wollastonite,,,Unknown,,U,Occurrence,Wollastonite,"Calcite, Diopside, Plagioclase, Pyrrhotite, Quartz",,,Contact With Igneous Intrusion.,"Limestone,Chert",Granite
Newrybar,-28.79646,153.54857,OC,Australia,New South Wales,,M,"Titanium, Metal, Zirconium",,,Unknown,,N,Prospect,"Ilmenite, Rutile, Zircon",,,,,,
Mt. Seabrook Mine,-25.59911,117.72266,OC,Australia,Western Australia,,N,Talc-Soapstone,,,Unknown,,Y,Producer,Talc,,,,,,
Nandewar Range Diatomite,-30.24637,150.53192,OC,Australia,New South Wales,,N,Diatomite,,,Unknown,,S,Past Producer,Diatomite,"Clay, Quartz",,,,"Clay, Mud,Diatomite,Volcanic Rock (Aphanitic)",Tuff
Kyooma East,-30.27831,150.63026,OC,Australia,New South Wales,,N,Diatomite,,,Unknown,,Y,Producer,Diatomite,"Clay, Feldspar",,One of the Bells Mountain Deposits,,"Clay, Mud,Diatomite,Tuff",Tuff
Brooklyn,-30.27998,150.59081,OC,Australia,New South Wales,,N,"Clay, Diatomite",,,Unknown,,Y,Past Producer,Diatomite,"Clay, Quartz",,,,"Clay, Mud,Diatomite,Tuff",Tuff
North Bells Mountain,-30.2872,150.59692,OC,Australia,New South Wales,,N,Diatomite,,,Unknown,,Y,Past Producer,Diatomite,"Clay, Feldspar, Limonite, Quartz",,,,"Clay, Mud,Diatomite,Tuff",Tuff
Chalk Mountain,-31.11716,149.06943,OC,Australia,New South Wales,,N,Diatomite,,,Unknown,,Y,Producer,Diatomite,"Feldspar, Quartz",,,,"Clay, Mud,Mudstone,Diatomite,Tuff","Volcanic Rock (Aphanitic),Tuff"
Middle Flat Diatomite Deposit,-36.17343,149.17713,OC,Australia,New South Wales,,N,Diatomite,,,Unknown,,S,Past Producer,Diatomite,"Kaolinite, Quartz",,,,"Clay, Mud,Lake Sediments,Diatomite",
Tintenbar Diatomite Deposit,-28.82979,153.46524,OC,Australia,New South Wales,,N,Diatomite,,Gemstone,Unknown,,S,Past Producer,Diatomite,"Limonite, Quartz",,Snow Queen Mine,,Diatomite,Basalt
Wyrallah Diatomite Deposit,-28.92978,153.36524,OC,Australia,New South Wales,,N,Diatomite,,,Unknown,,Y,Past Producer,Diatomite,"Limonite, Opal, Quartz",,,,Diatomite,Basalt
Comboyne Diatomite Deposit,-31.59635,152.48187,OC,Australia,New South Wales,,N,Diatomite,,,Unknown,,S,Past Producer,Diatomite,"Halloysite, Mica, Quartz",,,,"Clay, Mud,Diatomite","Trachyte,Basalt"
Lake Gnangara Diatomite Deposit,-31.78353,115.86601,OC,Australia,Western Australia,,N,Diatomite,,,Unknown,,Y,Past Producer,Diatomite,,,,,Lake Sediments,
Gingin Diatomite Deposit,-31.45576,115.75906,OC,Australia,Western Australia,,N,Diatomite,,,Unknown,,S,Producer,Diatomite,,,,,Clastic Sedimentary Rock,
Lillicur Diatomite Deposit,-37.07945,143.46528,OC,Australia,Victoria,,N,Diatomite,,,Unknown,,Y,Producer,Diatomite,Clay,,,,Lake Sediments,Basalt
Black Duck,-27.74649,152.2486,OC,Australia,Queensland,,N,Diatomite,,,Unknown,,Y,Producer,Diatomite,,,,,"Lake Sediments,Diatomite,Basalt",Basalt
Port Gregory,-28.1634,114.27218,OC,Australia,Western Australia,,B,Garnet,,"Zirconium, Titanium, Metal",Unknown,,Y,Producer,"Ilmenite, Zircon",Quartz,,,,Sand and Gravel,
Hillview,-32.24628,147.33195,OC,Australia,New South Wales,,N,Vermiculite,,,Unknown,,N,Prospect,Vermiculite,,,,,,
Kemerton,-33.31265,115.63266,OC,Australia,Western Australia,,B,"Silica, Quartz",,,Unknown,Sedimentary,N,Prospect,Sand,,,,,Clastic Sedimentary Rock,
Arumpo Bentonite Deposit,-33.74619,143.332,OC,Australia,New South Wales,,N,Bentonite,,,Unknown,Sedimentary,N,Prospect,Illite,,,,,"Clay, Mud,Sand and Gravel",
Marion Lake,-35.21276,136.91545,OC,Australia,South Australia,,N,Gypsum-Anhydrite,,,Unknown,,Y,Producer,,,,,,,
Snow Lake,-35.24609,136.94878,OC,Australia,South Australia,,N,Gypsum-Anhydrite,,,Unknown,,N,Occurrence,Gypsum,,,,,,
Spider Lake,-35.22942,136.91545,OC,Australia,South Australia,,N,Gypsum-Anhydrite,,,Unknown,,N,Occurrence,Gypsum,,,,,,
